Transaction ID,Date,Time,Type,Name,Emoji,Category,Amount,Currency,Local amount,Local currency,Notes and #tags,Address,Receipt,Description,Category split,Money Out,Money In
tx_0000AymoHDZwYW1qnDSsBl,02/10/2025,03:38:21,Card payment,Transport for London,🚆,Transport,-1.75,GBP,-1.75,GBP,"Travel charge for Wednesday, 1 Oct","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-1.75,
tx_0000AytWYOgI5myNjWffZC,05/10/2025,09:22:44,Card payment,Transport for London,🚆,Transport,-4.65,GBP,-4.65,GBP,"Travel charge for Saturday, 4 Oct",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-4.65,
tx_0000Ayy5F6XnZhbIsJGV6b,07/10/2025,14:10:16,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Monday, 6 Oct",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000AyyUHL29Aibsl665NB,07/10/2025,18:50:48,Pot transfer,Savings Pot,,Savings,130.00,GBP,130.00,GBP,,,,,,,130.00
tx_0000AyzCTfrhwTScpCuHly,08/10/2025,03:06:03,Direct Debit,Southwark Council,,Bills,-122.00,GBP,-122.00,GBP,55771956,,,55771956,,-122.00,
tx_0000Az0AF4fJRrxi3TsBIv,08/10/2025,14:15:43,Card payment,Transport for London,🚆,Transport,-1.75,GBP,-1.75,GBP,"Travel charge for Tuesday, 7 Oct",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-1.75,
tx_0000Az1nYqXBmtNmGDcBVq,09/10/2025,09:11:00,Pot transfer,Savings Pot,,Savings,400.00,GBP,400.00,GBP,,,,,,,400.00
tx_0000Az1ncwjMgwcx9Knbs1,09/10/2025,09:11:44,Monzo-to-Monzo,Apurv Renake,,General,-400.00,GBP,-400.00,GBP,Credit card ,,,,,-400.00,
tx_0000Az410JuCNjVrnB2h4T,10/10/2025,10:51:02,Faster payment,RANADIVE R,,Transfers,80.00,GBP,80.00,GBP,Monzo-FGFJQ,,,Monzo-FGFJQ,,,80.00
tx_0000Az414BFkUeEgGrAarS,10/10/2025,10:51:45,Pot transfer,Savings Pot,,Savings,-80.00,GBP,-80.00,GBP,,,,,,-80.00,
tx_0000Az4JKtMi3Df9WOuoa1,10/10/2025,14:16:27,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Thursday, 9 Oct",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
tx_0000Az4YBH1Ujetr05Ks77,10/10/2025,17:02:48,Card payment,Tesco,🍏 ,Groceries,-18.65,GBP,-18.65,GBP,,Jamaica Road,,TESCO STORES 4359      LONDON        GBR,,-18.65,
tx_0000Az5MuZ4zRc9ibNlH7p,11/10/2025,02:31:14,Card payment,Transport for London,🚆,Transport,-7.00,GBP,-7.00,GBP,"Travel charge for Friday, 10 Oct","Windsor House, 42-50 Victoria Street",,TfL Travel Charge      TFL.gov.uk/CP GBR,,-7.00,
tx_0000AzAYlDVkR6sy96axWu,13/10/2025,14:37:33,Pot transfer,Savings Pot,,Savings,20.00,GBP,20.00,GBP,,,,,,,20.00
tx_0000AzCbWfvPCURUEdaIfy,14/10/2025,14:17:58,Card payment,Transport for London,🚆,Transport,-3.50,GBP,-3.50,GBP,"Travel charge for Monday, 13 Oct",50 Victoria Street,,TFL TRAVEL CH\VICTORIA STREET\TFL.GOV.UK/CP\SW1H 0TL     GBR,,-3.50,
